epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,638.454,1.10887,0.9035,2.09086,0.81976,0.81778,0.83166,0.55857,1.13864,0.80328,2.43407,0.000742625,0.000742625,0.000742625
43,653.781,1.08461,0.87326,2.09807,0.83877,0.81216,0.85312,0.55083,1.10642,0.81607,2.44639,0.00073025,0.00073025,0.00073025
44,668.979,1.07529,0.86515,2.07977,0.80766,0.80304,0.84852,0.56633,1.08963,0.80842,2.48406,0.000717875,0.000717875,0.000717875
45,684.267,1.05967,0.86638,2.05846,0.84193,0.8328,0.86455,0.57047,1.08872,0.80049,2.40223,0.0007055,0.0007055,0.0007055
46,699.21,1.07485,0.86642,2.09974,0.80206,0.83734,0.8408,0.55603,1.12165,0.8153,2.45374,0.000693125,0.000693125,0.000693125
47,714.124,1.04866,0.85488,2.05512,0.81855,0.80977,0.85575,0.56076,1.11976,0.83053,2.42254,0.00068075,0.00068075,0.00068075
48,729.388,1.05898,0.84378,2.01011,0.804,0.83376,0.85134,0.56645,1.10441,0.80197,2.4187,0.000668375,0.000668375,0.000668375
49,744.992,1.06781,0.86439,2.06342,0.82565,0.82243,0.86075,0.57415,1.06955,0.79056,2.45934,0.000656,0.000656,0.000656
50,760.269,1.03444,0.82717,2.03939,0.84938,0.80991,0.86132,0.56126,1.11563,0.8112,2.45629,0.000643625,0.000643625,0.000643625
51,775.348,1.02511,0.82551,2.0459,0.86438,0.78269,0.85577,0.56764,1.08943,0.78026,2.40598,0.00063125,0.00063125,0.00063125
52,790.687,1.03158,0.83336,2.10406,0.91455,0.76765,0.87129,0.57035,1.0912,0.76486,2.42997,0.000618875,0.000618875,0.000618875
53,805.677,1.01362,0.81204,2.06344,0.84784,0.82856,0.87467,0.5742,1.08848,0.77912,2.37114,0.0006065,0.0006065,0.0006065
54,820.428,1.01793,0.79216,2.00675,0.88488,0.79988,0.86699,0.57778,1.09408,0.79909,2.40354,0.000594125,0.000594125,0.000594125
55,835.032,1.01427,0.79882,2.02653,0.86998,0.83033,0.87533,0.58505,1.05542,0.74851,2.39339,0.00058175,0.00058175,0.00058175
56,849.754,1.03896,0.81135,2.05811,0.86825,0.83053,0.86752,0.57739,1.08691,0.75943,2.39645,0.000569375,0.000569375,0.000569375
57,864.688,1.00619,0.78233,1.9968,0.8486,0.82839,0.85874,0.57625,1.08001,0.76525,2.40287,0.000557,0.000557,0.000557
58,879.427,0.98992,0.7785,2.04426,0.81945,0.82731,0.86566,0.57506,1.05462,0.78648,2.4203,0.000544625,0.000544625,0.000544625
59,894.386,1.01525,0.79668,2.05862,0.80801,0.85595,0.86859,0.57578,1.05098,0.78261,2.40248,0.00053225,0.00053225,0.00053225
60,909.553,0.97957,0.78327,2.00864,0.85078,0.84431,0.87485,0.58577,1.02275,0.73877,2.39226,0.000519875,0.000519875,0.000519875
61,924.718,0.96456,0.77601,1.99856,0.82759,0.86163,0.86745,0.5753,1.08778,0.74751,2.40117,0.0005075,0.0005075,0.0005075
62,939.942,0.97647,0.75749,1.99952,0.86959,0.79407,0.86274,0.58022,1.0429,0.75996,2.38601,0.000495125,0.000495125,0.000495125
63,955.036,0.98073,0.76714,2.02729,0.85648,0.82053,0.8647,0.58841,1.04453,0.74259,2.39601,0.00048275,0.00048275,0.00048275
64,970.349,0.9935,0.79884,2.01062,0.81538,0.81134,0.86151,0.57536,1.03666,0.74553,2.40383,0.000470375,0.000470375,0.000470375
65,985.891,0.9597,0.74048,1.96237,0.84885,0.83087,0.86242,0.57586,1.04276,0.73202,2.35905,0.000458,0.000458,0.000458
66,1001.32,0.94311,0.72318,2.00039,0.82578,0.86597,0.87747,0.59802,1.0207,0.73723,2.37119,0.000445625,0.000445625,0.000445625
67,1016.58,0.96856,0.74288,2.01634,0.89116,0.79121,0.8683,0.58323,1.0388,0.72995,2.38445,0.00043325,0.00043325,0.00043325
68,1031.98,0.95334,0.72786,1.95691,0.88569,0.80701,0.87767,0.59932,1.03042,0.73478,2.34188,0.000420875,0.000420875,0.000420875
69,1047.23,0.94825,0.70957,1.93499,0.82228,0.84205,0.86884,0.60575,1.01768,0.7307,2.35512,0.0004085,0.0004085,0.0004085
70,1062.61,0.94322,0.72714,2.00266,0.85552,0.81137,0.85646,0.59334,1.033,0.72516,2.3292,0.000396125,0.000396125,0.000396125
71,1078.08,0.94404,0.72117,1.94677,0.86696,0.84948,0.89037,0.59477,1.0322,0.72042,2.35468,0.00038375,0.00038375,0.00038375
72,1093.44,0.94149,0.72853,1.99885,0.81897,0.86069,0.86159,0.59397,1.00576,0.72206,2.36927,0.000371375,0.000371375,0.000371375
73,1108.89,0.9591,0.74387,1.96587,0.83645,0.86187,0.88165,0.60114,1.03092,0.70588,2.33877,0.000359,0.000359,0.000359
74,1124.22,0.94871,0.7196,1.96264,0.83657,0.87535,0.88291,0.60199,1.02513,0.69924,2.36778,0.000346625,0.000346625,0.000346625
75,1139.45,0.92055,0.70313,1.97886,0.84791,0.8529,0.88882,0.59707,1.02546,0.70264,2.32299,0.00033425,0.00033425,0.00033425
76,1154.46,0.91496,0.69128,1.98709,0.8414,0.84987,0.87204,0.58992,1.02201,0.70939,2.35728,0.000321875,0.000321875,0.000321875
77,1169.41,0.92177,0.71217,1.96025,0.87072,0.84347,0.89093,0.60313,0.99086,0.6903,2.34555,0.0003095,0.0003095,0.0003095
78,1183.99,0.90123,0.70348,1.98889,0.84815,0.88037,0.88826,0.60113,0.99564,0.69173,2.34307,0.000297125,0.000297125,0.000297125
79,1198.24,0.93173,0.70735,1.93396,0.86346,0.86093,0.89183,0.5985,1.00384,0.69117,2.33065,0.00028475,0.00028475,0.00028475
80,1212.92,0.9083,0.67773,1.95043,0.88421,0.83629,0.89197,0.60004,1.01186,0.68951,2.34678,0.000272375,0.000272375,0.000272375
81,1227.87,0.89942,0.70323,1.97892,0.87325,0.84686,0.89201,0.60121,1.01356,0.71225,2.33299,0.00026,0.00026,0.00026
82,1242.75,0.90648,0.6905,1.99121,0.83649,0.85685,0.86494,0.58928,1.01465,0.70863,2.31813,0.000247625,0.000247625,0.000247625
83,1257.47,0.89615,0.68061,1.93649,0.87894,0.81502,0.87584,0.59656,0.9789,0.68746,2.31833,0.00023525,0.00023525,0.00023525
84,1272.39,0.90574,0.67783,1.94566,0.86573,0.83327,0.86858,0.59421,0.98462,0.68807,2.32243,0.000222875,0.000222875,0.000222875
85,1287.33,0.88299,0.66575,1.94766,0.85281,0.85209,0.87601,0.60034,0.98236,0.69332,2.33526,0.0002105,0.0002105,0.0002105
86,1302.14,0.9041,0.68979,1.92553,0.87079,0.84303,0.87823,0.59973,0.98181,0.68093,2.30635,0.000198125,0.000198125,0.000198125
87,1316.84,0.87473,0.67134,1.99866,0.86258,0.84559,0.87849,0.59902,0.98833,0.67343,2.30099,0.00018575,0.00018575,0.00018575
88,1331.9,0.8792,0.67749,1.97096,0.87866,0.8507,0.89544,0.61756,0.97599,0.67226,2.29217,0.000173375,0.000173375,0.000173375
89,1347.2,0.85942,0.64769,1.92803,0.86756,0.88856,0.90194,0.61482,0.97441,0.67553,2.29598,0.000161,0.000161,0.000161
90,1362.57,0.85653,0.65665,1.91416,0.87426,0.87773,0.89236,0.60687,0.97182,0.67369,2.3008,0.000148625,0.000148625,0.000148625
91,1377.01,0.77761,0.54172,1.92978,0.85193,0.8682,0.87894,0.60245,0.99105,0.67585,2.31127,0.00013625,0.00013625,0.00013625
92,1391.35,0.76577,0.53278,1.96183,0.84684,0.86616,0.87616,0.59756,0.97637,0.67041,2.31329,0.000123875,0.000123875,0.000123875
93,1405.8,0.74477,0.50034,1.92175,0.83486,0.87142,0.87601,0.59782,0.96603,0.6632,2.31852,0.0001115,0.0001115,0.0001115
94,1420.17,0.73594,0.49338,1.90366,0.8479,0.84206,0.8663,0.59653,0.97737,0.66604,2.29878,9.9125e-05,9.9125e-05,9.9125e-05
95,1434.48,0.74658,0.50151,1.92553,0.84023,0.85276,0.86227,0.59995,0.95287,0.66618,2.29704,8.675e-05,8.675e-05,8.675e-05
96,1449.05,0.7198,0.48263,1.91939,0.8521,0.85292,0.8669,0.60015,0.95535,0.67291,2.29687,7.4375e-05,7.4375e-05,7.4375e-05
97,1463.78,0.72977,0.48903,1.93174,0.85725,0.84871,0.87026,0.60325,0.96242,0.6661,2.28656,6.2e-05,6.2e-05,6.2e-05
98,1478.44,0.72478,0.48261,1.93579,0.84559,0.84952,0.86991,0.60622,0.95381,0.65909,2.29361,4.9625e-05,4.9625e-05,4.9625e-05
99,1492.78,0.72513,0.48055,1.93029,0.83248,0.85698,0.87321,0.60865,0.95069,0.65799,2.29242,3.725e-05,3.725e-05,3.725e-05
100,1507.23,0.71667,0.4809,1.92655,0.83921,0.86058,0.87224,0.60882,0.94785,0.65844,2.29175,2.4875e-05,2.4875e-05,2.4875e-05
